tz,total,male,age_under_29,age_30_54,age_55_over,white,black,asian,others,two_or_more,less_high_school,high_school,college,bachelor
143,14627,0.4816435359267109,0.17467696725234155,0.6009434607233198,0.22437957202433856,0.7565461133520203,0.09325220482669036,0.12852943187256444,0.005127503931086347,0.016544746017638612,0.07226362206877691,0.13563957065700416,0.2125521296232994,0.404867710398578
144,6609,0.5150552277197761,0.2805265546981389,0.5410803449841126,0.17839310031774852,0.6261159025571191,0.05885913148736571,0.2912694810107429,0.006960205779996974,0.016795279164775308,0.09653502799213194,0.12361930700559842,0.1803601149947042,0.31895899530942656
145,10352,0.5301391035548686,0.20933153013910355,0.6624806800618238,0.12818778979907264,0.7272990726429676,0.07698995363214838,0.16914605873261204,0.0072449768160741885,0.019319938176197836,0.07196676970633693,0.13350077279752703,0.20604714064914992,0.3791537867078825
146,4001,0.5313671582104474,0.2636840789802549,0.564608847788053,0.17170707323169207,0.6778305423644089,0.0899775056235941,0.19570107473131718,0.012996750812296926,0.023494126468382906,0.11022244438890277,0.1559610097475631,0.19120219945013747,0.2789302674331417
147,9075,0.48165289256198346,0.2764738292011019,0.5530578512396694,0.17046831955922864,0.590633608815427,0.334435261707989,0.0362534435261708,0.015647382920110194,0.02303030303030303,0.16661157024793388,0.18303030303030304,0.21575757575757576,0.1581267217630854
148,11205,0.5045961624274877,0.30200803212851407,0.5381526104417671,0.1598393574297189,0.579830432842481,0.071396697902722,0.3250334672021419,0.0071396697902722,0.016599732262382864,0.1069165551093262,0.12985274431057564,0.17206604194556002,0.2891566265060241
149,16050,0.48149532710280374,0.19763239875389407,0.5341433021806854,0.26822429906542056,0.7502803738317757,0.06685358255451714,0.16199376947040497,0.005420560747663551,0.01545171339563863,0.09376947040498443,0.16242990654205608,0.22361370716510903,0.3225545171339564
150,4499,0.4894420982440542,0.1720382307179373,0.5421204712158257,0.2858412980662369,0.8292953989775506,0.08290731273616359,0.06645921315847966,0.00577906201378084,0.01555901311402534,0.09157590575683486,0.16270282284952212,0.21560346743720826,0.35807957323849743
151,15520,0.48112113402061857,0.1865979381443299,0.5615335051546392,0.2518685567010309,0.738659793814433,0.15921391752577319,0.07686855670103093,0.007538659793814433,0.017719072164948453,0.09355670103092784,0.1529639175257732,0.21739690721649485,0.3494845360824742
152,9860,0.4969574036511156,0.2926977687626775,0.5380324543610547,0.16926977687626774,0.6011156186612576,0.3122718052738337,0.04858012170385396,0.015314401622718053,0.022718052738336714,0.14350912778904665,0.16926977687626774,0.20476673427991887,0.18975659229208924
153,2810,0.47544483985765124,0.24199288256227758,0.5494661921708185,0.2085409252669039,0.6284697508896797,0.3,0.03665480427046263,0.012811387900355872,0.02206405693950178,0.16654804270462634,0.17473309608540924,0.21530249110320285,0.201423487544484
154,329,0.47112462006079026,0.2826747720364742,0.4194528875379939,0.2978723404255319,0.60790273556231,0.1762917933130699,0.14285714285714285,0.030395136778115502,0.0425531914893617,0.1033434650455927,0.15501519756838905,0.24924012158054712,0.20972644376899696
155,21053,0.4887664465871847,0.20006649883627037,0.5512753526813281,0.24865814848240156,0.7283522538355579,0.17484444022229612,0.07466869329786728,0.007314871989740179,0.014819740654538546,0.08977342896499312,0.1617821688120458,0.22951598347028926,0.31886191991640145
156,13239,0.4714102273585618,0.23974620439610242,0.5517033008535388,0.20855049475035878,0.5334239746204396,0.34247299644988294,0.09290731928393384,0.01027267920537805,0.020923030440365586,0.1171538635848629,0.16919706926505024,0.22985119722033387,0.24405166553365057
157,15427,0.5137097296946911,0.20159460685810593,0.5736047189991573,0.22480067414273677,0.7702728981655539,0.07823945031438387,0.12555908472159202,0.009982498217411033,0.01594606858105918,0.11661372917611978,0.16918389836001815,0.22421728138977118,0.28839048421598495
158,5867,0.5455940003408897,0.19532981080620418,0.5885461053349241,0.21612408385887166,0.8344980398840975,0.06391682290778933,0.07499573887847281,0.005113345832623147,0.021476052497017215,0.06681438554627578,0.1368672234532129,0.2019771603886143,0.3990114198056929
159,14707,0.4684164003535731,0.26585979465560616,0.5682328143061127,0.1659073910382811,0.5502141837220371,0.37526347997552184,0.03821309580471884,0.014550894132045964,0.02175834636567621,0.17059903447338,0.18827769089549196,0.2138437478751615,0.16141973210036037
