tz,total,male,age_under_29,age_30_54,age_55_over,white,black,asian,others,two_or_more,less_high_school,high_school,college,bachelor
37,13384,0.4940974297668858,0.1787955768081291,0.5735206216377764,0.24768380155409445,0.5278690974297668,0.2963239689181112,0.14980573819485954,0.01105797967722654,0.014943215780035863,0.1451733413030484,0.18320382546323968,0.24947698744769875,0.24335026897788403
38,1432,0.4518156424581006,0.2206703910614525,0.5377094972067039,0.24162011173184358,0.4511173184357542,0.43435754189944137,0.09776536312849161,0.002793296089385475,0.013966480446927373,0.12918994413407822,0.1787709497206704,0.22136871508379888,0.25
39,9342,0.4951830443159923,0.2146221365874545,0.5588739028045386,0.22650396060800684,0.51669877970456,0.3923142795975166,0.07246842217940484,0.005780346820809248,0.01273817169770927,0.12149432669663883,0.18218796831513595,0.2363519588953115,0.24534360950545922
40,4544,0.5136443661971831,0.22557218309859156,0.577024647887324,0.1974031690140845,0.7108274647887324,0.18463908450704225,0.07570422535211267,0.006822183098591549,0.022007042253521125,0.1056338028169014,0.16351232394366197,0.21897007042253522,0.2863116197183099
41,10718,0.452323194625863,0.31768986751259565,0.5197798096659825,0.1625303228214219,0.5470236984512036,0.3514648255271506,0.07268147042358648,0.00961000186601978,0.01922000373203956,0.11261429371151334,0.15795857436088823,0.20367605896622504,0.20806120544877776
42,13510,0.4236861584011843,0.2154700222057735,0.5629163582531458,0.2216136195410807,0.45536639526276834,0.4306439674315322,0.08778682457438934,0.009770540340488527,0.016432272390821612,0.11798667653589934,0.16735751295336787,0.24796447076239822,0.25122131754256105
43,2941,0.4773886433185991,0.18395103706222374,0.5906154369262155,0.2254335260115607,0.6579394763685821,0.24549472968378103,0.0731043862631758,0.0047602856171370285,0.01870112206732404,0.09894593675620537,0.16831009860591636,0.24379462767766066,0.3049982998979939
44,7032,0.575938566552901,0.2396188850967008,0.5312855517633674,0.22909556313993173,0.8007679180887372,0.13637656427758818,0.047212741751990896,0.0052616609783845275,0.010381114903299203,0.09328782707622298,0.1864334470989761,0.22810011376564276,0.2525597269624573
45,12402,0.48032575391065957,0.14844379938719562,0.5965166908563135,0.25503950975649087,0.39824221899693596,0.13393001128850185,0.44855668440574104,0.0035478148685695854,0.015723270440251572,0.13812288340590229,0.16118368005160458,0.21504596032897919,0.33720367682631835
46,1465,0.5843003412969283,0.2955631399317406,0.4969283276450512,0.2075085324232082,0.7406143344709898,0.17337883959044367,0.0552901023890785,0.016382252559726963,0.014334470989761093,0.1802047781569966,0.15358361774744028,0.19590443686006825,0.17474402730375427
47,9827,0.4603643024320749,0.1508089956243004,0.6029307011295411,0.24626030324615855,0.5518469522743462,0.3347918998677114,0.08690342932736339,0.009769003765136867,0.016688714765442147,0.1340185204029714,0.17879312099318204,0.2561310674671822,0.2802482955123639
48,40945,0.5242154109170839,0.23319086579557943,0.5743314201978263,0.19247771400659422,0.6817438026621077,0.19159848577359873,0.09859567712785444,0.008792282329954817,0.01926975210648431,0.10831603370374893,0.16043472951520332,0.2186103309317377,0.27944804005373064
49,9436,0.49162780839338704,0.2522255192878338,0.54482831708351,0.20294616362865622,0.6582238236540907,0.23050021195421788,0.0850996184824078,0.0072064434082238235,0.01896990250105977,0.10205595591352268,0.16511233573548115,0.22043238660449344,0.26017380245866895
50,25889,0.6143922129089575,0.22511491366989841,0.6081733554791611,0.16671173085094054,0.6816794777704817,0.1951794198308162,0.10004248908802967,0.007184518521379736,0.01591409478929275,0.07895245084785044,0.14106377225848815,0.2030592143381359,0.3518096488856271
51,11828,0.5091308758877241,0.26242813662495773,0.5373689550219818,0.20020290835306054,0.5533479878254988,0.36760229962800134,0.05089617855935069,0.012005410889414947,0.01614812309773419,0.1453331078796077,0.18946567467027392,0.23207642881298612,0.1706966520121745
52,2706,0.4024390243902439,0.2442719881744272,0.5280857354028086,0.22764227642276422,0.6116038433111604,0.2812269031781227,0.08388765705838877,0.0066518847006651885,0.01662971175166297,0.11788617886178862,0.16999260901699925,0.2254249815225425,0.24242424242424243
53,14152,0.6665488976823064,0.15877614471452797,0.6139768230638779,0.22724703222159412,0.5939089881288864,0.25643018654607125,0.12662521198417184,0.0071368004522329,0.015898812888637648,0.12789711701526285,0.19855850763143018,0.26201243640474847,0.25275579423403055
54,1133,0.6734333627537511,0.19593998234774934,0.6010591350397175,0.2030008826125331,0.7449249779346867,0.1703442188879082,0.05913503971756399,0.01147396293027361,0.01412180052956752,0.14033539276257723,0.20123565754633715,0.24889673433362755,0.21359223300970873
55,8245,0.48853850818677985,0.2162522741055185,0.5417828987265009,0.2419648271679806,0.6310491206791995,0.2910855063674955,0.05809581564584597,0.007519708914493633,0.012249848392965433,0.12856276531231048,0.17804730139478472,0.22825955124317768,0.24887810794420862
