capacity,lat,lon,name,short_name,station_id
38,40.7835016,-73.955327,E 91 St & Park Ave,7344.05,3294
59,40.791270000000004,-73.964839,Central Park W & W 96 St,7499.05,3295
42,40.78245417527987,-73.94891962409021,E 93 St & 2 Ave,7286.02,3296
21,40.668662700000006,-73.97988067,6 St & 7 Ave,3834.10,3297
23,40.686371,-73.99383324,Warren St & Court St,4413.08,3298
25,40.788129999999995,-73.95206,E 98 St & Park Ave,7443.17,3299
25,40.66514681533792,-73.97637605667114,Prospect Park West & 8 St,3722.04,3300
0,40.7919557,-73.968087,Columbus Ave & W 95 St,7520.07,3301
22,40.7969347,-73.9643412291,Columbus Ave & W 103 St,7595.17,3302
25,40.6849894,-73.99440329,Butler St & Court St,4339.01,3303
27,40.668127,-73.98377641,6 Ave & 9 St,3803.09,3304
39,40.781122299341654,-73.94965589046478,E 91 St & 2 Ave,7286.01,3305
23,40.666207799999995,-73.98199886,10 St & 7 Ave,3762.08,3306
31,40.7941654,-73.974124,West End Ave & W 94 St,7524.09,3307
27,40.686175799999994,-73.99645295,Kane St & Clinton St,4455.11,3308
30,40.7859201,-73.94860294,E 97 St & 3 Ave,7365.08,3309
24,40.663779,-73.98396846,14 St & 7 Ave,3731.11,3310
21,40.68763155,-74.0016256,Columbia St & Kane St,4422.05,3311
39,40.78172120000001,-73.94594000000001,1 Ave & E 94 St,7286.05,3312
29,40.666318100000005,-73.9854617,6 Ave & 12 St,3803.05,3313
32,40.7937704,-73.971888,W 95 St & Broadway,7541.01,3314
23,40.684751399999996,-73.99917254,Henry St & Degraw St,4380.08,3315
24,40.6686273,-73.98700053,10 St & 5 Ave,3842.08,3317
39,40.7839636,-73.94716729999999,2 Ave & E 96 St,7338.02,3318
21,40.666287,-73.98895053,14 St & 5 Ave,3771.06,3319
49,40.794066608185524,-73.96286845207214,Central Park West & W 100 St,7538.12,3320
25,40.683116399999996,-73.99785267,Clinton St & Union St,4266.03,3321
25,40.668603000000004,-73.99043940000001,12 St & 4 Ave,3882.01,3322
59,40.798185600000004,-73.96059090060001,W 106 St & Central Park West,7606.01,3323
25,40.6685455,-73.99333264,3 Ave & 14 St,3850.03,3324
21,40.67434,-74.00194698,Clinton St & Centre St,4045.01,3326
27,40.787721399999995,-73.94728331,3 Ave & E 100 St,7414.17,3327
39,40.795,-73.9645,W 100 St & Manhattan Ave,7538.14,3328
27,40.6829151,-73.99318208,Degraw St & Smith St,4298.05,3329
19,40.672505799999996,-74.00494695,Henry St & Bay St,3972.08,3330
39,40.8013434,-73.97114574390001,Riverside Dr & W 104 St,7623.13,3331
19,40.68199044270703,-73.99079024791719,Degraw St & Hoyt St,4258.07,3332
21,40.6747055,-74.00755720000001,Columbia St & Lorraine St,4103.08,3333
28,40.6772744,-73.98282002,Union St & 4 Ave,4175.15,3335
41,40.787801,-73.953559,E 97 St & Madison Ave,7393.09,3336
23,40.67363551341504,-74.01195555925368,Dwight St & Van Dyke St,3981.10,3337
31,40.786258600000004,-73.94552579,2 Ave & E 99 St,7386.10,3338
