capacity,lat,lon,name,short_name,station_id,empytCount_0,empytCount_1,empytCount_2,empytCount_3,empytCount_4,empytCount_5,empytCount_6,empytCount_7,empytCount_8,empytCount_9,empytCount_10,empytCount_11,empytCount_12,empytCount_13,empytCount_14,empytCount_15,empytCount_16,empytCount_17,empytCount_18,empytCount_19,empytCount_20,empytCount_21,empytCount_22,empytCount_23
31,40.752165280621966,-73.97992193698882,E 41 St & Madison Ave,6474.12,3235,76.0,99.0,67.0,86.0,77.0,87.0,74.0,28.0,63.0,18.0,9.0,3.0,0.0,3.0,2.0,0.0,3.0,0.0,4.0,6.0,12.0,27.0,43.0,59.0
33,40.75898481399634,-73.99379968643187,W 42 St & Dyer Ave,6644.07,3236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,19.0,21.0,37.0,22.0,23.0,22.0,23.0,6.0,0.0,1.0,1.0,0.0,0.0
19,40.686203000000006,-73.944694,Monroe St & Tompkins Ave,4434.06,3241,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,43.0,12.0,23.0,12.0,60.0,6.0,13.0,7.0,13.0,3.0,4.0
39,40.69102925677968,-73.99183362722397,Schermerhorn St & Court St,4565.04,3242,19.0,22.0,26.0,45.0,0.0,0.0,0.0,8.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,14.0,23.0
29,40.75892386377695,-73.96226227283478,E 58 St & 1 Ave,6682.03,3243,19.0,15.0,13.0,11.0,0.0,0.0,4.0,0.0,0.0,5.0,2.0,20.0,44.0,24.0,13.0,11.0,14.0,5.0,8.0,3.0,2.0,4.0,9.0,13.0
31,40.73143724085228,-73.99490341544151,University Pl & E 8 St,5755.14,3244,7.0,13.0,31.0,44.0,100.0,75.0,38.0,19.0,18.0,1.0,29.0,7.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,3.0
19,40.680356084043396,-73.94767910242079,Verona Pl & Fulton St,4124.04,3249,7.0,0.0,16.0,34.0,8.0,0.0,11.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0
19,40.7505853470215,-73.9946848154068,8 Ave & W 31 St,6450.05,3255,0.0,4.0,16.0,2.0,9.0,0.0,4.0,0.0,0.0,15.0,13.0,5.0,15.0,24.0,22.0,7.0,7.0,5.0,1.0,3.0,0.0,2.0,1.0,0.0
22,40.7277140777778,-74.01129573583603,Pier 40 - Hudson River Park,5696.03,3256,2.0,0.0,52.0,33.0,48.0,31.0,0.0,22.0,67.0,0.0,0.0,2.0,3.0,7.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0
37,40.75018156325681,-74.00218427181244,W 27 St & 10 Ave,6382.08,3258,7.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,7.0,1.0,8.0,1.0,2.0,0.0,2.0,0.0,3.0,13.0,14.0
