is_installed,is_renting,is_returning,last_reported,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,station_id,eightd_has_available_keys,id_num
1,1,1,1541422645,4,0,17,0,0,3061,False,
1,1,1,1541420134,1,0,22,0,0,3062,False,
1,1,1,1541436516,10,4,6,0,0,3063,False,
1,1,1,1541436948,7,0,16,0,0,3064,False,
1,1,1,1541435088,1,0,25,1,0,3065,False,
1,1,1,1541432544,3,1,15,0,0,3066,False,
1,1,1,1541436158,24,1,1,1,0,3067,False,
1,1,1,1541430273,22,1,1,0,0,3068,False,
1,1,1,1541432712,7,0,18,0,0,3069,False,
1,1,1,1541436666,9,0,14,0,0,3070,False,
1,1,1,1541433344,3,1,14,1,0,3071,False,
1,1,1,1541436702,12,1,10,1,0,3072,False,
1,0,0,1,0,0,0,0,0,3073,False,
1,1,1,1541436172,5,0,26,0,0,3074,False,
1,1,1,1541436801,10,1,22,0,0,3075,False,
1,1,1,1541426134,10,0,13,1,0,3076,False,
1,1,1,1541436795,7,0,26,0,0,3077,False,
1,1,1,1541435742,8,0,18,1,0,3078,False,
1,1,1,1541436629,1,1,19,0,0,3080,False,
1,1,1,1541422390,0,0,22,1,0,3081,False,
1,1,1,1541436229,1,0,24,0,0,3082,False,
1,1,1,1541427619,3,0,27,0,0,3083,False,
1,0,0,1,0,0,0,0,0,3085,False,
1,1,1,1541436063,7,0,18,0,0,3086,False,
1,1,1,1541437051,2,0,27,1,0,3087,False,
1,1,1,1541432846,8,0,11,0,0,3088,False,
1,1,1,1541436335,30,1,0,0,0,3090,False,
1,1,1,1541434604,3,0,28,0,0,3091,False,
1,1,1,1541436278,21,0,5,1,0,3092,False,
1,1,1,1541435965,26,2,0,0,0,3093,False,
1,1,1,1541434311,0,1,17,0,0,3094,False,
1,1,1,1541431532,0,1,22,0,0,3095,False,
1,1,1,1541434075,31,1,6,1,0,3096,False,
1,1,1,1541429660,6,0,33,0,0,3100,False,
1,1,1,1541437055,26,0,1,0,0,3101,False,
1,1,1,1541428837,13,0,14,0,0,3102,False,
1,1,1,1541435288,21,1,2,0,0,3105,False,
1,1,1,1541428396,0,0,18,1,0,3106,False,
1,1,1,1541434730,6,0,32,1,0,3107,False,
1,1,1,1541435928,1,3,20,0,0,3108,False,
1,1,1,1541429142,12,0,19,0,0,3109,False,
1,1,1,1541435264,1,1,25,0,0,3110,False,
1,1,1,1541436396,29,1,3,0,0,3112,False,
1,1,1,1541436920,2,0,25,0,0,3113,False,
1,1,1,1541434705,18,0,16,0,0,3115,False,
1,1,1,1541435360,8,0,27,0,0,3116,False,
1,1,1,1541433649,5,1,21,0,0,3117,False,
1,1,1,1541434866,1,0,29,0,0,3118,False,
1,1,1,1541437025,22,3,18,2,0,3119,False,
1,1,1,1541426866,9,0,11,0,0,3120,False,
1,1,1,1541434248,1,0,26,0,0,3121,False,
1,1,1,1541425499,11,0,19,1,0,3122,False,
1,1,1,1541436382,14,0,13,0,0,3123,False,
1,1,1,1541434953,13,0,14,0,0,3124,False,
1,1,1,1541435040,15,1,7,0,0,3125,False,
1,1,1,1541436908,6,0,28,0,0,3126,False,
1,1,1,1541430036,26,0,9,0,0,3127,False,
1,1,1,1541425599,3,0,20,0,0,3128,False,
1,1,1,1541435536,8,1,22,0,0,3129,False,
1,1,1,1541434747,5,0,26,0,0,3130,False,
1,1,1,1541436525,11,0,20,0,0,3131,False,
1,1,1,1541436980,30,2,3,0,0,3132,False,
1,1,1,1541433682,27,3,21,0,0,3134,False,
